model,place,profile,leaf_mode,tier,test_id,run_idx,score,keystone_pass,keystone_score,grounding_pass,format_pass,honest_pass,usd,completion_tokens,visits,latency_s,json_valid_frac,run_id
gemma2:2b,local,fs0_structured,react,format,f01,1,1.0,1,1.0,1,1,1,,184,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f01,2,0.3333333333333333,1,1.0,0,0,1,,130,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f01,3,0.3333333333333333,1,1.0,0,0,1,,125,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f01,4,0.6666666666666666,1,1.0,0,1,1,,117,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f02,1,0.3333333333333333,1,1.0,0,0,1,,132,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f02,2,0.3333333333333333,1,1.0,0,0,1,,135,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f02,3,0.3333333333333333,1,1.0,0,0,1,,136,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f02,4,0.6666666666666666,1,1.0,1,0,1,,172,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f03,1,0.6666666666666666,1,1.0,1,0,1,,275,3,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f03,2,0.3333333333333333,1,1.0,0,0,1,,127,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f03,3,0.3333333333333333,1,1.0,0,0,1,,144,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs0_structured,react,format,f03,4,0.3333333333333333,1,1.0,0,0,1,,130,1,,1.0,bml__gemma2-2b__fs0_structured__format
gemma2:2b,local,fs1_structured_strict,react,format,f01,1,0.6666666666666666,1,1.0,0,1,1,,127,1,,1.0,bml__gemma2-2b__fs1_structured_strict__format
gemma2:2b,local,fs1_structured_strict,react,format,f01,2,0.6666666666666666,1,1.0,0,1,1,,135,1,,1.0,bml__gemma2-2b__fs1_structured_strict__format
gemma2:2b,local,fs1_structured_strict,react,format,f01,3,0.6666666666666666,1,1.0,0,1,1,,130,1,,1.0,bml__gemma2-2b__fs1_structured_strict__format
gemma2:2b,local,fs1_structured_strict,react,format,f01,4,0.6666666666666666,1,1.0,0,1,1,,123,1,,1.0,bml__gemma2-2b__fs1_structured_strict__format
gemma2:2b,local,fs1_structured_strict,react,format,f02,1,1.0,1,1.0,1,1,1,,181,1,,1.0,bml__gemma2-2b__fs1_structured_strict__format
