condition,rep,task,shape,score,goal_achieved,success,nodes,root_children,search_nodes,visit_nodes,merge_nodes,reexpands,visits,searches,llm_calls,prompt_tokens,total_tokens,duration_s,infra_failed,file
control,1,137,chain,0.1167,False,True,4,3,1,1,1,0,1,10,12,23215,23709,33.44,False,bstack_off_rep1_137_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,1,152,wide_breadth,0.0714,False,True,2,1,0,1,0,0,1,0,4,12090,12771,34.46,False,bstack_off_rep1_152_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,1,154,narrow_breadth,0.125,True,True,4,3,1,1,1,0,1,1,8,16210,16590,24.6,False,bstack_off_rep1_154_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,1,156,wide_breadth,0.0952,False,True,7,6,3,2,1,0,2,29,8,30085,31559,55.62,False,bstack_off_rep1_156_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,2,137,chain,0.1833,True,True,4,3,1,1,1,0,1,10,12,20271,20769,31.49,False,bstack_off_rep2_137_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,2,152,wide_breadth,0.0714,True,True,4,3,0,2,1,0,2,0,6,19655,20697,55.19,False,bstack_off_rep2_152_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,2,154,narrow_breadth,0.125,False,True,2,1,0,1,0,0,0,0,6,10643,10997,19.64,False,bstack_off_rep2_154_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,2,156,wide_breadth,0.0476,False,True,4,3,1,1,1,0,1,1,8,19442,20602,43.7,False,bstack_off_rep2_156_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,3,137,chain,0.1833,False,True,4,3,1,1,1,0,1,10,12,19472,19987,31.24,False,bstack_off_rep3_137_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,3,152,wide_breadth,0.1786,True,True,7,6,0,5,1,0,5,0,6,41591,42287,71.29,False,bstack_off_rep3_152_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,3,154,narrow_breadth,0.75,True,True,6,5,2,2,1,0,2,2,8,24806,25486,43.95,False,bstack_off_rep3_154_qwen2.5:7b_graph_cfg894a60e7_r1.json
control,3,156,wide_breadth,0.0476,False,True,5,4,0,3,1,0,2,0,6,16936,18187,43.25,False,bstack_off_rep3_156_qwen2.5:7b_graph_cfg894a60e7_r1.json
bfix,1,137,chain,0.1833,True,True,4,3,1,1,1,0,1,10,12,21747,22263,32.75,False,bstack_on_rep1_137_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,1,152,wide_breadth,0.25,True,True,24,23,11,11,1,2,9,104,22,70257,72566,170.14,False,bstack_on_rep1_152_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,1,154,narrow_breadth,0.125,False,True,4,3,1,1,1,0,1,1,8,19620,20218,36.43,False,bstack_on_rep1_154_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,1,156,wide_breadth,0.1905,False,True,19,18,9,8,1,1,8,80,18,54427,55998,99.74,False,bstack_on_rep1_156_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,2,137,chain,0.1167,True,True,4,3,1,1,1,0,1,10,12,20278,20761,31.57,False,bstack_on_rep2_137_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,2,152,wide_breadth,0.25,False,True,20,19,4,14,1,2,10,38,16,56278,57712,133.06,False,bstack_on_rep2_152_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,2,154,narrow_breadth,0.625,True,True,4,3,1,1,1,0,1,9,12,20607,21073,30.98,False,bstack_on_rep2_154_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,2,156,wide_breadth,0.3571,True,True,30,29,15,13,1,2,7,59,22,62360,64694,117.39,False,bstack_on_rep2_156_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,3,137,chain,0.1167,True,True,4,3,1,1,1,0,1,10,12,19559,19997,30.14,False,bstack_on_rep3_137_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,3,152,wide_breadth,0.25,True,True,23,22,10,11,1,1,10,88,20,56811,58410,119.14,False,bstack_on_rep3_152_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,3,154,narrow_breadth,0.125,False,True,4,3,1,1,1,0,1,9,12,17416,17858,27.31,False,bstack_on_rep3_154_qwen2.5:7b_graph_cfg2e297bd7_r1.json
bfix,3,156,wide_breadth,0.1667,True,True,31,30,16,13,1,2,10,108,26,88475,91136,154.35,False,bstack_on_rep3_156_qwen2.5:7b_graph_cfg2e297bd7_r1.json
