file,task_id,arm,rep,model,score,checks_passed,total_checks,infra_failed,duration_seconds,prompt_tokens,completion_tokens,total_tokens,llm_calls,visit_count_obs,search_count_obs,trace_file_exists,distinct_search_terms,distinct_visited_urls,goal_achieved,grounding_replans,max_depth,max_fanout_created,merge_nodes_created,merge_nodes_done,missing_requirements_count,node_count,parallel_leaves_total,pending_nodes_count,root_children_count,search_nodes_created,search_nodes_done,status_done,status_failed,status_other,status_pending,status_skipped,success,visit_nodes_created,visit_nodes_done
dagbase_20260824_graph_134_qwen2.5:7b_graph_cfgef66f4d7_r1.json,134,graph,1,qwen2.5:7b,0.5833333333333333,2,5,False,34.59,18471,705,19176,12,1,5,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_134_qwen2.5:7b_graph_cfgef66f4d7_r2.json,134,graph,2,qwen2.5:7b,0.5833333333333333,2,5,False,24.85,17807,561,18368,12,1,5,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_134_qwen2.5:7b_graph_cfgef66f4d7_r3.json,134,graph,3,qwen2.5:7b,0.5833333333333333,2,5,False,24.21,17693,569,18262,12,1,9,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_137_qwen2.5:7b_graph_cfgef66f4d7_r1.json,137,graph,1,qwen2.5:7b,0.11666666666666665,0,5,False,21.77,17092,221,17313,6,1,0,False,0,1,False,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,True,1,1
dagbase_20260824_graph_137_qwen2.5:7b_graph_cfgef66f4d7_r2.json,137,graph,2,qwen2.5:7b,0.18333333333333332,0,5,False,11.76,14866,293,15159,6,1,0,False,0,1,False,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,True,1,1
dagbase_20260824_graph_137_qwen2.5:7b_graph_cfgef66f4d7_r3.json,137,graph,3,qwen2.5:7b,0.11666666666666665,0,5,False,10.57,14157,219,14376,6,1,0,False,0,1,False,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,True,1,1
dagbase_20260824_graph_141_qwen2.5:7b_graph_cfgef66f4d7_r1.json,141,graph,1,qwen2.5:7b,0.6,2,5,False,39.64,22916,493,23409,12,1,10,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_141_qwen2.5:7b_graph_cfgef66f4d7_r2.json,141,graph,2,qwen2.5:7b,0.6,2,5,False,25.52,19890,486,20376,12,1,5,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_141_qwen2.5:7b_graph_cfgef66f4d7_r3.json,141,graph,3,qwen2.5:7b,0.6,2,5,False,22.22,16863,282,17145,6,1,0,False,0,1,False,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,True,1,1
dagbase_20260824_graph_144_qwen2.5:7b_graph_cfgef66f4d7_r1.json,144,graph,1,qwen2.5:7b,0.4,2,5,False,60.48,27456,728,28184,12,2,2,False,2,2,True,0,1,6,1,1,0,7,2,0,6,2,2,5,2,0,0,0,True,2,1
dagbase_20260824_graph_144_qwen2.5:7b_graph_cfgef66f4d7_r2.json,144,graph,2,qwen2.5:7b,0.6,2,5,False,22.76,20545,421,20966,8,1,5,False,1,1,True,0,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_144_qwen2.5:7b_graph_cfgef66f4d7_r3.json,144,graph,3,qwen2.5:7b,0.8,3,5,False,24.91,18963,546,19509,12,1,8,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
dagbase_20260824_graph_152_qwen2.5:7b_graph_cfgef66f4d7_r1.json,152,graph,1,qwen2.5:7b,0.07142857142857142,0,4,False,55.9,27086,993,28079,8,2,3,False,3,2,True,0,1,6,1,0,0,7,3,0,6,3,3,6,0,0,0,1,True,2,2
dagbase_20260824_graph_152_qwen2.5:7b_graph_cfgef66f4d7_r2.json,152,graph,2,qwen2.5:7b,0.10714285714285714,0,4,False,61.47,38062,939,39001,8,3,18,False,2,3,True,0,1,6,1,0,0,7,3,0,6,2,2,6,0,0,0,1,True,3,3
dagbase_20260824_graph_152_qwen2.5:7b_graph_cfgef66f4d7_r3.json,152,graph,3,qwen2.5:7b,0.07142857142857142,0,4,False,31.29,20019,606,20625,10,1,18,False,2,1,True,1,1,4,1,1,0,5,2,0,4,2,2,5,0,0,0,0,True,1,1
dagbase_20260824_graph_154_qwen2.5:7b_graph_cfgef66f4d7_r1.json,154,graph,1,qwen2.5:7b,0.5,2,4,False,45.99,24527,622,25149,8,2,2,False,2,2,True,0,1,5,1,1,0,6,2,0,5,2,2,6,0,0,0,0,True,2,2
dagbase_20260824_graph_154_qwen2.5:7b_graph_cfgef66f4d7_r2.json,154,graph,2,qwen2.5:7b,0.25,1,4,False,31.57,21888,562,22450,8,2,17,False,2,1,True,0,1,5,1,1,0,6,2,0,5,2,2,6,0,0,0,0,True,2,2
dagbase_20260824_graph_154_qwen2.5:7b_graph_cfgef66f4d7_r3.json,154,graph,3,qwen2.5:7b,0.125,0,4,False,32.28,21792,406,22198,12,1,9,False,1,1,True,1,1,3,1,0,0,4,0,0,3,1,1,3,0,0,0,1,True,1,1
dagbase_20260824_graph_155_qwen2.5:7b_graph_cfgef66f4d7_r1.json,155,graph,1,qwen2.5:7b,0.125,0,4,False,41.79,16576,477,17053,8,1,2,False,2,1,True,1,1,4,1,1,0,5,2,0,4,2,2,5,0,0,0,0,True,1,1
dagbase_20260824_graph_155_qwen2.5:7b_graph_cfgef66f4d7_r2.json,155,graph,2,qwen2.5:7b,0.25,0,4,False,25.98,18432,704,19136,12,1,8,False,1,1,True,1,1,3,1,1,0,4,0,0,3,1,1,4,0,0,0,0,True,1,1
