path,test_id,level,weight,model,variant,tooling,tier,score,usd,cost_estimated,total_tokens,visit_chars,visits,llm_calls,search_calls,visit_calls,tool_calls,secs,grounded
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_graph_compiled_r1.json,050,navigation,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,1.0,0.02792,False,5445,128304,2,14,12,2,28,36.18,1.0
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_graph_compiled_r2.json,050,navigation,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,1.0,0.02315,False,5045,128304,2,14,12,2,28,26.96,1.0
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_graph_compiled_r3.json,050,navigation,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,1.0,0.033708,False,6459,128304,2,16,12,2,30,37.32,1.0
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_sequential_react_r1.json,050,navigation,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.875,0.019624,False,5487,78993,1,10,12,1,23,17.86,1.0
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_sequential_react_r2.json,050,navigation,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.875,0.016616,False,4928,78993,1,8,12,1,21,13.22,1.0
services/agent/idea_test_results/barrage24b_050_google-gemini-3.1-pro-preview_sequential_react_r3.json,050,navigation,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.875,0.01629,False,4820,78993,1,8,12,1,21,12.6,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_r1.json,050,navigation,long,openai/gpt-4.1-nano,graph,full,0,0.875,0.005062,False,48631,80751,1,8,20,1,29,23.38,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_r2.json,050,navigation,long,openai/gpt-4.1-nano,graph,full,0,0.75,0.001733,False,15060,0,0,8,6,0,14,85.14,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_r3.json,050,navigation,long,openai/gpt-4.1-nano,graph,full,0,1.0,0.005379,False,51973,127891,2,8,20,2,30,28.04,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_compiled_r1.json,050,navigation,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.000526,False,3989,128304,2,14,12,2,28,7.01,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_compiled_r2.json,050,navigation,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.000839,False,6625,98622,2,18,12,2,32,10.25,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_graph_compiled_r3.json,050,navigation,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.000505,False,3923,128304,2,14,12,2,28,6.08,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_naive_rag_r1.json,050,navigation,long,openai/gpt-4.1-nano,naive_rag,partial,0,0.0,2.8e-05,False,181,0,0,2,0,0,2,0.79,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_naive_rag_r2.json,050,navigation,long,openai/gpt-4.1-nano,naive_rag,partial,0,0.0,2.9e-05,False,183,0,0,2,0,0,2,0.69,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_naive_rag_r3.json,050,navigation,long,openai/gpt-4.1-nano,naive_rag,partial,0,0.5,5e-05,False,236,0,0,2,0,0,2,0.82,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_parametric_r1.json,050,navigation,long,openai/gpt-4.1-nano,parametric,parametric,0,0.0,4.8e-05,False,247,0,0,2,0,0,2,0.85,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_parametric_r2.json,050,navigation,long,openai/gpt-4.1-nano,parametric,parametric,0,0.5,5.5e-05,False,264,0,0,2,0,0,2,1.08,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_parametric_r3.json,050,navigation,long,openai/gpt-4.1-nano,parametric,parametric,0,0.0,5.4e-05,False,262,0,0,2,0,0,2,0.9,0.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_sequential_react_r1.json,050,navigation,long,openai/gpt-4.1-nano,sequential_react,sequential,0,1.0,0.000782,False,6463,87461,2,10,12,2,24,5.27,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_sequential_react_r2.json,050,navigation,long,openai/gpt-4.1-nano,sequential_react,sequential,0,1.0,0.000544,False,4498,157986,2,8,6,2,16,5.0,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-4.1-nano_sequential_react_r3.json,050,navigation,long,openai/gpt-4.1-nano,sequential_react,sequential,0,0.875,0.000544,False,4450,78993,1,8,6,1,15,4.22,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_graph_compiled_r1.json,050,navigation,long,openai/gpt-5-mini,graph_compiled,graph_compiled,0,1.0,0.006554,False,6636,128304,2,16,12,2,30,31.34,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_graph_compiled_r2.json,050,navigation,long,openai/gpt-5-mini,graph_compiled,graph_compiled,0,1.0,0.005292,False,5740,128304,2,14,12,2,28,25.38,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_graph_compiled_r3.json,050,navigation,long,openai/gpt-5-mini,graph_compiled,graph_compiled,0,1.0,0.005335,False,5017,128304,2,12,6,2,20,50.31,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_sequential_react_r1.json,050,navigation,long,openai/gpt-5-mini,sequential_react,sequential,0,1.0,0.004401,False,7455,128304,2,10,12,2,24,25.64,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_sequential_react_r2.json,050,navigation,long,openai/gpt-5-mini,sequential_react,sequential,0,1.0,0.006943,False,12520,128304,2,14,12,2,28,30.35,1.0
services/agent/idea_test_results/barrage24b_050_openai-gpt-5-mini_sequential_react_r3.json,050,navigation,long,openai/gpt-5-mini,sequential_react,sequential,0,1.0,0.004218,False,5664,128304,2,8,6,2,16,21.4,1.0
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_graph_compiled_r1.json,051,graph,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,0.16666666666666666,0.086428,False,12894,80140,2,28,12,2,42,98.35,0.0
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_graph_compiled_r2.json,051,graph,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,0.875,0.066484,False,11832,104891,3,24,18,3,45,70.37,0.5
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_graph_compiled_r3.json,051,graph,long,google/gemini-3.1-pro-preview,graph_compiled,graph_compiled,0,0.875,0.061694,False,12317,104891,3,26,18,3,47,74.39,0.5
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_sequential_react_r1.json,051,graph,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.9166666666666666,0.026626,False,7728,91518,2,10,12,2,24,30.91,1.0
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_sequential_react_r2.json,051,graph,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.9166666666666666,0.046206,False,13583,91518,2,14,12,2,28,28.65,1.0
services/agent/idea_test_results/barrage24b_051_google-gemini-3.1-pro-preview_sequential_react_r3.json,051,graph,long,google/gemini-3.1-pro-preview,sequential_react,sequential,0,0.9166666666666666,0.038318,False,10209,91518,2,12,12,2,26,31.49,1.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_r1.json,051,graph,long,openai/gpt-4.1-nano,graph,full,0,0.75,0.001484,False,12379,0,0,8,10,0,18,12.23,0.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_r2.json,051,graph,long,openai/gpt-4.1-nano,graph,full,0,0.7083333333333334,0.004805,False,45675,15148,1,8,20,1,29,13.05,1.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_r3.json,051,graph,long,openai/gpt-4.1-nano,graph,full,0,0.9166666666666666,0.00529,False,49709,83573,2,8,3,2,13,23.07,1.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_compiled_r1.json,051,graph,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.001365,False,10902,171658,4,26,24,4,54,13.66,1.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_compiled_r2.json,051,graph,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.001396,False,11003,251798,6,26,12,6,44,14.82,1.0
services/agent/idea_test_results/barrage24b_051_openai-gpt-4.1-nano_graph_compiled_r3.json,051,graph,long,openai/gpt-4.1-nano,graph_compiled,graph_compiled,0,1.0,0.001388,False,11047,238425,5,26,18,5,49,17.66,1.0
